Site,Date,Month,Transect,healthy,sick,count,prev,trans,diseased,species
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,5/7/14,May,4,18,0,18,0,32,0,pycn
Rosario,6/6/14,June,1,9,0,9,0,33,0,pycn
Rosario,6/6/14,June,1,9,0,9,0,33,0,pycn
Rosario,6/6/14,June,1,9,0,9,0,33,0,pycn
Rosario,6/6/14,June,1,9,0,9,0,33,0,pycn
Rosario,6/6/14,June,1,9,0,9,0,33,0,pycn
Rosario,6/6/14,June,1,9,0,9,0,33,0,pycn
Rosario,6/6/14,June,1,9,0,9,0,33,0,pycn
Rosario,6/6/14,June,1,9,0,9,0,33,0,pycn
Rosario,6/6/14,June,1,9,0,9,0,33,0,pycn
Rosario,6/6/14,June,2,5,0,5,0,34,0,pycn
Rosario,6/6/14,June,2,5,0,5,0,34,0,pycn
Rosario,6/6/14,June,2,5,0,5,0,34,0,pycn
Rosario,6/6/14,June,2,5,0,5,0,34,0,pycn
Rosario,6/6/14,June,2,5,0,5,0,34,0,pycn
Rosario,6/6/14,June,3,8,0,8,0,35,0,pycn
Rosario,6/6/14,June,3,8,0,8,0,35,0,pycn
Rosario,6/6/14,June,3,8,0,8,0,35,0,pycn
Rosario,6/6/14,June,3,8,0,8,0,35,0,pycn
Rosario,6/6/14,June,3,8,0,8,0,35,0,pycn
Rosario,6/6/14,June,3,8,0,8,0,35,0,pycn
Rosario,6/6/14,June,3,8,0,8,0,35,0,pycn
Rosario,6/6/14,June,3,8,0,8,0,35,0,pycn
Rosario,7/6/14,July,1,2,0,2,0,36,0,pycn
Rosario,7/6/14,July,1,2,0,2,0,36,0,pycn
Rosario,7/6/14,July,2,5,2,7,28.57142857,37,0,pycn
Rosario,7/6/14,July,2,5,2,7,28.57142857,37,0,pycn
Rosario,7/6/14,July,2,5,2,7,28.57142857,37,0,pycn
Rosario,7/6/14,July,2,5,2,7,28.57142857,37,0,pycn
Rosario,7/6/14,July,2,5,2,7,28.57142857,37,0,pycn
Rosario,7/6/14,July,3,3,1,4,25,38,0,pycn
Rosario,7/6/14,July,3,3,1,4,25,38,0,pycn
Rosario,7/6/14,July,3,3,1,4,25,38,0,pycn
Rosario,8/20/14,August,1,2,0,2,0,39,0,pycn
Rosario,8/20/14,August,1,2,0,2,0,39,0,pycn
Shaw House,7/6/14,July,1,1,0,1,0,43,0,pycn
Strathmann House,6/3/14,June,1,1,0,1,0,49,0,pycn
Bell Island,6/5/14,June,2,5,5,10,50,6,1,pycn
Bell Island,6/5/14,June,2,5,5,10,50,6,1,pycn
Bell Island,6/5/14,June,2,5,5,10,50,6,1,pycn
Bell Island,6/5/14,June,2,5,5,10,50,6,1,pycn
Bell Island,6/5/14,June,2,5,5,10,50,6,1,pycn
Bell Island,6/5/14,June,3,0,1,1,100,7,1,pycn
Bell Island,7/3/14,July,2,1,1,2,50,9,1,pycn
FHL Dock,5/8/14,May,1,1,1,2,50,12,1,pycn
FHL Dock,5/8/14,May,3,2,1,3,33.33333333,14,1,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,1,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,1,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,1,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,1,pycn
FHL Dock,7/3/14,July,1,3,2,5,40,16,1,pycn
FHL Dock,7/3/14,July,1,3,2,5,40,16,1,pycn
Reuben Tarte,7/5/14,July,2,3,1,4,25,23,1,pycn
Reuben Tarte,7/5/14,July,3,2,3,5,60,24,1,pycn
Reuben Tarte,7/5/14,July,3,2,3,5,60,24,1,pycn
Reuben Tarte,7/5/14,July,3,2,3,5,60,24,1,pycn
Reuben Tarte,8/21/14,August,2,0,1,1,100,28,1,pycn
Rosario,6/6/14,June,1,5,1,6,16.66666667,33,1,pycn
Rosario,7/6/14,July,3,2,4,6,66.66666667,38,1,pycn
Rosario,7/6/14,July,3,2,4,6,66.66666667,38,1,pycn
Rosario,7/6/14,July,3,2,4,6,66.66666667,38,1,pycn
Rosario,7/6/14,July,3,2,4,6,66.66666667,38,1,pycn
Shaw House,7/6/14,July,1,3,5,8,62.5,43,1,pycn
Shaw House,7/6/14,July,1,3,5,8,62.5,43,1,pycn
Shaw House,7/6/14,July,1,3,5,8,62.5,43,1,pycn
Shaw House,7/6/14,July,1,3,5,8,62.5,43,1,pycn
Shaw House,7/6/14,July,1,3,5,8,62.5,43,1,pycn
Strathmann House,6/3/14,June,1,1,1,2,50,49,1,pycn
Strathmann House,6/3/14,June,2,3,1,4,25,50,1,pycn
Strathmann House,7/5/14,July,1,1,2,3,66.66666667,51,1,pycn
Strathmann House,7/5/14,July,1,1,2,3,66.66666667,51,1,pycn
Strathmann House,7/5/14,July,2,5,1,6,16.66666667,52,1,pycn
FHL Dock,5/8/14,May,1,1,1,2,50,12,1,pycn
FHL Dock,5/8/14,May,3,2,1,3,33.33333333,14,1,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,1,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,1,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,1,pycn
FHL Dock,6/20/14,June,1,8,4,12,33.33333333,15,1,pycn
FHL Dock,7/3/14,July,1,3,2,5,40,16,1,pycn
FHL Dock,7/3/14,July,1,3,2,5,40,16,1,pycn
Reuben Tarte,8/21/14,August,2,0,1,1,100,28,1,pycn
Rosario,7/6/14,July,2,5,2,7,28.57142857,37,1,pycn
Rosario,7/6/14,July,2,5,2,7,28.57142857,37,1,pycn
Rosario,7/6/14,July,3,3,1,4,25,38,1,pycn
Bell Island,5/8/14,May,2,1,0,1,0,2,0,evas
Bell Island,5/8/14,May,3,1,0,1,0,3,0,evas
Bell Island,5/8/14,May,4,4,0,4,0,4,0,evas
Bell Island,5/8/14,May,4,4,0,4,0,4,0,evas
Bell Island,5/8/14,May,4,4,0,4,0,4,0,evas
Bell Island,5/8/14,May,4,4,0,4,0,4,0,evas
Bell Island,6/5/14,June,2,1,0,1,0,6,0,evas
Bell Island,7/3/14,July,1,1,0,1,0,8,0,evas
Bell Island,8/19/14,August,1,2,1,3,33.33333333,10,0,evas
Bell Island,8/19/14,August,1,2,1,3,33.33333333,10,0,evas
FHL Dock,5/8/14,May,1,1,0,1,0,12,0,evas
FHL Dock,6/20/14,June,1,1,1,2,50,15,0,evas
FHL Dock,7/3/14,July,1,4,0,4,0,16,0,evas
FHL Dock,7/3/14,July,1,4,0,4,0,16,0,evas
FHL Dock,7/3/14,July,1,4,0,4,0,16,0,evas
FHL Dock,7/3/14,July,1,4,0,4,0,16,0,evas
FHL Dock,8/20/14,August,1,1,1,2,50,18,0,evas
Reuben Tarte,6/5/14,June,1,3,0,3,0,19,0,evas
Reuben Tarte,6/5/14,June,1,3,0,3,0,19,0,evas
Reuben Tarte,6/5/14,June,1,3,0,3,0,19,0,evas
Reuben Tarte,6/5/14,June,2,7,0,7,0,20,0,evas
Reuben Tarte,6/5/14,June,2,7,0,7,0,20,0,evas
Reuben Tarte,6/5/14,June,2,7,0,7,0,20,0,evas
Reuben Tarte,6/5/14,June,2,7,0,7,0,20,0,evas
Reuben Tarte,6/5/14,June,2,7,0,7,0,20,0,evas
Reuben Tarte,6/5/14,June,2,7,0,7,0,20,0,evas
Reuben Tarte,6/5/14,June,2,7,0,7,0,20,0,evas
Reuben Tarte,6/5/14,June,3,7,0,7,0,21,0,evas
Reuben Tarte,6/5/14,June,3,7,0,7,0,21,0,evas
Reuben Tarte,6/5/14,June,3,7,0,7,0,21,0,evas
Reuben Tarte,6/5/14,June,3,7,0,7,0,21,0,evas
Reuben Tarte,6/5/14,June,3,7,0,7,0,21,0,evas
Reuben Tarte,6/5/14,June,3,7,0,7,0,21,0,evas
Reuben Tarte,6/5/14,June,3,7,0,7,0,21,0,evas
Reuben Tarte,7/5/14,July,2,3,0,3,0,23,0,evas
Reuben Tarte,7/5/14,July,2,3,0,3,0,23,0,evas
Reuben Tarte,7/5/14,July,2,3,0,3,0,23,0,evas
Reuben Tarte,7/5/14,July,3,1,0,1,0,24,0,evas
Reuben Tarte,8/21/14,August,1,1,1,2,50,27,0,evas
Reuben Tarte,8/21/14,August,2,1,2,3,66.66666667,28,0,evas
Rosario,5/7/14,May,2,1,0,1,0,30,0,evas
Rosario,6/6/14,June,1,1,1,2,50,33,0,evas
Rosario,6/6/14,June,2,3,0,3,0,34,0,evas
Rosario,6/6/14,June,2,3,0,3,0,34,0,evas
Rosario,6/6/14,June,2,3,0,3,0,34,0,evas
Rosario,7/6/14,July,1,1,0,1,0,36,0,evas
Rosario,7/6/14,July,2,1,0,1,0,37,0,evas
Rosario,8/20/14,August,1,2,0,2,0,39,0,evas
Rosario,8/20/14,August,1,2,0,2,0,39,0,evas
Shaw House,6/6/14,June,1,3,1,4,25,41,0,evas
Shaw House,6/6/14,June,1,3,1,4,25,41,0,evas
Shaw House,6/6/14,June,1,3,1,4,25,41,0,evas
Shaw House,6/6/14,June,2,7,0,7,0,42,0,evas
Shaw House,6/6/14,June,2,7,0,7,0,42,0,evas
Shaw House,6/6/14,June,2,7,0,7,0,42,0,evas
Shaw House,6/6/14,June,2,7,0,7,0,42,0,evas
Shaw House,6/6/14,June,2,7,0,7,0,42,0,evas
Shaw House,6/6/14,June,2,7,0,7,0,42,0,evas
Shaw House,6/6/14,June,2,7,0,7,0,42,0,evas
Shaw House,7/6/14,July,1,9,0,9,0,43,0,evas
Shaw House,7/6/14,July,1,9,0,9,0,43,0,evas
Shaw House,7/6/14,July,1,9,0,9,0,43,0,evas
Shaw House,7/6/14,July,1,9,0,9,0,43,0,evas
Shaw House,7/6/14,July,1,9,0,9,0,43,0,evas
Shaw House,7/6/14,July,1,9,0,9,0,43,0,evas
Shaw House,7/6/14,July,1,9,0,9,0,43,0,evas
Shaw House,7/6/14,July,1,9,0,9,0,43,0,evas
Shaw House,7/6/14,July,1,9,0,9,0,43,0,evas
Shaw House,8/20/14,August,1,1,2,3,66.66666667,44,0,evas
Strathmann House,5/7/14,May,1,1,0,1,0,45,0,evas
Strathmann House,6/3/14,June,2,1,0,1,0,50,0,evas
Strathmann House,7/5/14,July,1,5,1,6,16.66666667,51,0,evas
Strathmann House,7/5/14,July,1,5,1,6,16.66666667,51,0,evas
Strathmann House,7/5/14,July,1,5,1,6,16.66666667,51,0,evas
Strathmann House,7/5/14,July,1,5,1,6,16.66666667,51,0,evas
Strathmann House,7/5/14,July,1,5,1,6,16.66666667,51,0,evas
Strathmann House,7/5/14,July,2,3,0,3,0,52,0,evas
Strathmann House,7/5/14,July,2,3,0,3,0,52,0,evas
Strathmann House,7/5/14,July,2,3,0,3,0,52,0,evas
Strathmann House,8/18/14,August,2,1,0,1,0,56,0,evas
Bell Island,8/19/14,August,1,2,1,3,33.33333333,10,1,evas
FHL Dock,6/20/14,June,1,1,1,2,50,15,1,evas
FHL Dock,8/20/14,August,1,1,1,2,50,18,1,evas
Reuben Tarte,8/21/14,August,1,1,1,2,50,27,1,evas
Reuben Tarte,8/21/14,August,2,1,2,3,66.66666667,28,1,evas
Reuben Tarte,8/21/14,August,2,1,2,3,66.66666667,28,1,evas
Rosario,6/6/14,June,1,1,1,2,50,33,1,evas
Shaw House,6/6/14,June,1,3,1,4,25,41,1,evas
Shaw House,8/20/14,August,1,1,2,3,66.66666667,44,1,evas
